ID,SpotName,Website,OtherMedia,street,city,zip,Season1Date,Season1Time,x,y,updateTime
2,Hattinger Skatepark,https://goo.gl/maps/e1kqqCXRNEmae8Gq6,https://www.hattingen.de/stadt_hattingen/Leben/Freizeit/,Leinpfad,Hattingen,45525,1. April - 31. August Mo. bis So. 10 - 22 Uhr,1. Januar - 31. M�rz und 1. September - 31. Dezember Mo. bis So. 10 Uhr bis Einbruch der Dunkelheit,51.41014850183159,7.182447026769182,6/20/2017 10:43:57 PM
3,Hattinger Skatepark,https://goo.gl/maps/e1kqqCXRNEmae8Gq6,https://www.hattingen.de/stadt_hattingen/Leben/Freizeit/,Leinpfad,Hattingen,45525,1. April - 31. August Mo. bis So. 10 - 22 Uhr,1. Januar - 31. M�rz und 1. September - 31. Dezember Mo. bis So. 10 Uhr bis Einbruch der Dunkelheit,51.41014,7.1824,6/20/2017 10:43:57 PM
